Ceremony_Id,Ceremony_year,Ceremony_date,Ceremony_venue
1,1929,1929-03-01,"Grauman's Chinese Theatre, Los Angeles"
2,1930,1930-02-24,"Hollywood Roosevelt Hotel, Los Angeles"
3,1931,1931-02-24,"Grauman's Chinese Theatre, Los Angeles"
4,1932,1932-03-04,"Hollywood Roosevelt Hotel, Los Angeles"
5,1933,1933-03-03,"Union Station, Los Angeles"
6,1934,1934-02-24,"Pantages Theatre, Los Angeles"
7,1935,1935-03-03,"Ambassador Hotel, Los Angeles"
8,1936,1936-03-01,"Dorothy Chandler Pavilion, Los Angeles"
9,1937,1937-02-28,"Grauman's Chinese Theatre, Los Angeles"
10,1938,1938-02-21,"Dorothy Chandler Pavilion, Los Angeles"
11,1939,1939-02-24,"Pantages Theatre, Los Angeles"
12,1940,1940-03-05,"Union Station, Los Angeles"
13,1941,1941-02-27,"Dolby Theatre, Los Angeles"
14,1942,1942-03-05,"Pantages Theatre, Los Angeles"
15,1943,1943-03-03,"Dolby Theatre, Los Angeles"
16,1944,1944-02-27,"Ambassador Hotel, Los Angeles"
17,1945,1945-02-26,"Grauman's Chinese Theatre, Los Angeles"
18,1946,1946-02-25,"Grauman's Chinese Theatre, Los Angeles"
19,1947,1947-03-02,"Shrine Auditorium, Los Angeles"
20,1948,1948-03-04,"Dorothy Chandler Pavilion, Los Angeles"
21,1949,1949-03-03,"Grauman's Chinese Theatre, Los Angeles"
22,1950,1950-03-02,"Dolby Theatre, Los Angeles"
23,1951,1951-03-02,"Union Station, Los Angeles"
24,1952,1952-02-28,"Ambassador Hotel, Los Angeles"
25,1953,1953-02-20,"Hollywood Roosevelt Hotel, Los Angeles"
26,1954,1954-03-04,"Ambassador Hotel, Los Angeles"
27,1955,1955-02-21,"Hollywood Roosevelt Hotel, Los Angeles"
28,1956,1956-02-28,"Shrine Auditorium, Los Angeles"
29,1957,1957-03-02,"Ambassador Hotel, Los Angeles"
30,1958,1958-02-24,"Grauman's Chinese Theatre, Los Angeles"
31,1959,1959-02-27,"Union Station, Los Angeles"
32,1960,1960-02-27,"Dorothy Chandler Pavilion, Los Angeles"
33,1961,1961-03-05,"Pantages Theatre, Los Angeles"
34,1962,1962-02-20,"Pantages Theatre, Los Angeles"
35,1963,1963-03-05,"Dorothy Chandler Pavilion, Los Angeles"
36,1964,1964-03-02,"Shrine Auditorium, Los Angeles"
37,1965,1965-03-02,"Pantages Theatre, Los Angeles"
38,1966,1966-03-03,"Hollywood Roosevelt Hotel, Los Angeles"
39,1967,1967-02-20,"Pantages Theatre, Los Angeles"
40,1968,1968-03-05,"Shrine Auditorium, Los Angeles"
41,1969,1969-02-22,"Ambassador Hotel, Los Angeles"
42,1970,1970-03-01,"Hollywood Roosevelt Hotel, Los Angeles"
43,1971,1971-03-05,"Grauman's Chinese Theatre, Los Angeles"
44,1972,1972-02-22,"Dorothy Chandler Pavilion, Los Angeles"
45,1973,1973-02-26,"Pantages Theatre, Los Angeles"
46,1974,1974-02-22,"Pantages Theatre, Los Angeles"
47,1975,1975-03-03,"Grauman's Chinese Theatre, Los Angeles"
48,1976,1976-02-23,"Dolby Theatre, Los Angeles"
49,1977,1977-03-05,"Ambassador Hotel, Los Angeles"
50,1978,1978-02-24,"Grauman's Chinese Theatre, Los Angeles"
51,1979,1979-03-04,"Union Station, Los Angeles"
52,1980,1980-03-04,"Pantages Theatre, Los Angeles"
53,1981,1981-02-28,"Dolby Theatre, Los Angeles"
54,1982,1982-02-28,"Ambassador Hotel, Los Angeles"
55,1983,1983-03-05,"Dorothy Chandler Pavilion, Los Angeles"
56,1984,1984-03-04,"Union Station, Los Angeles"
57,1985,1985-02-26,"Shrine Auditorium, Los Angeles"
58,1986,1986-02-21,"Hollywood Roosevelt Hotel, Los Angeles"
59,1987,1987-03-02,"Grauman's Chinese Theatre, Los Angeles"
60,1988,1988-02-23,"Pantages Theatre, Los Angeles"
61,1989,1989-02-21,"Shrine Auditorium, Los Angeles"
62,1990,1990-02-21,"Shrine Auditorium, Los Angeles"
63,1991,1991-02-24,"Hollywood Roosevelt Hotel, Los Angeles"
64,1992,1992-03-04,"Dolby Theatre, Los Angeles"
65,1993,1993-02-28,"Hollywood Roosevelt Hotel, Los Angeles"
66,1994,1994-03-04,"Ambassador Hotel, Los Angeles"
67,1995,1995-02-27,"Dolby Theatre, Los Angeles"
68,1996,1996-02-22,"Grauman's Chinese Theatre, Los Angeles"
69,1997,1997-02-21,"Shrine Auditorium, Los Angeles"
70,1998,1998-03-04,"Union Station, Los Angeles"
71,1999,1999-03-02,"Grauman's Chinese Theatre, Los Angeles"
72,2000,2000-02-29,"Shrine Auditorium, Los Angeles"
73,2001,2001-03-04,"Ambassador Hotel, Los Angeles"
74,2002,2002-02-26,"Union Station, Los Angeles"
75,2003,2003-03-01,"Union Station, Los Angeles"
76,2004,2004-02-26,"Dorothy Chandler Pavilion, Los Angeles"
77,2005,2005-03-04,"Ambassador Hotel, Los Angeles"
78,2006,2006-03-02,"Hollywood Roosevelt Hotel, Los Angeles"
79,2007,2007-03-04,"Grauman's Chinese Theatre, Los Angeles"
80,2008,2008-03-04,"Grauman's Chinese Theatre, Los Angeles"
81,2009,2009-03-04,"Union Station, Los Angeles"
82,2010,2010-03-04,"Ambassador Hotel, Los Angeles"
83,2011,2011-02-24,"Dorothy Chandler Pavilion, Los Angeles"
84,2012,2012-02-26,"Shrine Auditorium, Los Angeles"
85,2013,2013-03-03,"Dorothy Chandler Pavilion, Los Angeles"
86,2014,2014-02-21,"Hollywood Roosevelt Hotel, Los Angeles"
87,2015,2015-02-23,"Union Station, Los Angeles"
88,2016,2016-03-03,"Ambassador Hotel, Los Angeles"
