Country_Name,Country_Nationality
Afghanistan,Afghan
Albania,Albania citizen
Algeria,Algerian
Andorra,Andorra citizen
Angola,Angolan
Argentina,Argentine
Armenia,Armenian
Australia,Australian
Austria,Austrian
Azerbaijan,Azerbaijani
Bahamas,Bahamas citizen
Bahrain,Bahraini
Bangladesh,Bangladeshi
Barbados,Barbados citizen
Belarus,Belarusian
Belgium,Belgian
Belize,Belize citizen
Benin,Benin citizen
Bhutan,Bhutanese
Bolivia,Bolivian
Bosnia and Herzegovina,Bosnian
Botswana,Batswana
Brazil,Brazilian
Brunei,Brunei citizen
Bulgaria,Bulgaria citizen
Burkina Faso,Burkina Faso citizen
Burundi,Burundian
Cabo Verde,Cabo Verde citizen
Cambodia,Cambodia citizen
Cameroon,Cameroonian
Canada,Canadian
Central African Republic,Central African Republic citizen
Chad,Chad citizen
Chile,Chilean
China,Chinese
Colombia,Colombian
Comoros,Comoros citizen
Congo (Congo-Brazzaville),Congo (Congo-Brazzaville) citizen
Costa Rica,Costa Rica citizen
Côte d’Ivoire,Côte d’Ivoire citizen
Croatia,Croatian
Cuba,Cuba citizen
Cyprus,Cyprus citizen
Czechia,Czech
Democratic Republic of the Congo,Democratic Republic of the Congo citizen
Denmark,Danish
Djibouti,Djibouti citizen
Dominica,Dominica citizen
Dominican Republic,Dominican Republic citizen
Ecuador,Ecuador citizen
Egypt,Egyptian
El Salvador,El Salvador citizen
Equatorial Guinea,Equatorial Guinea citizen
Eritrea,Eritrea citizen
Estonia,Estonian
Eswatini,Eswatini citizen
Ethiopia,Ethiopian
Fiji,Fiji citizen
Finland,Finnish
France,French
Gabon,Gabon citizen
Gambia,Gambia citizen
Georgia,Georgian
Germany,German
Ghana,Ghanaian
Greece,Greek
Grenada,Grenada citizen
Guatemala,Guatemala citizen
Guinea,Guinea citizen
Guinea-Bissau,Guinea-Bissau citizen
Guyana,Guyana citizen
Haiti,Haiti citizen
Honduras,Honduras citizen
Hungary,Hungary citizen
Iceland,Icelandic
India,Indian
Indonesia,Indonesian
Iran,Iranian
Iraq,Iraqi
Ireland,Irish
Israel,Israeli
Italy,Italian
Jamaica,Jamaica citizen
Japan,Japanese
Jordan,Jordanian
Kazakhstan,Kazakhstan citizen
Kenya,Kenyan
Kiribati,Kiribati citizen
Kuwait,Kuwaiti
Kyrgyzstan,Kyrgyzstan citizen
Laos,Laos citizen
Latvia,Latvian
Lebanon,Lebanese
Lesotho,Lesotho citizen
Liberia,Liberia citizen
Libya,Libyan
Liechtenstein,Liechtenstein citizen
Lithuania,Lithuanian
Luxembourg,Luxembourg citizen
Madagascar,Malagasy
Malawi,Malawi citizen
Malaysia,Malaysian
Maldives,Maldivian
Mali,Mali citizen
Malta,Malta citizen
Marshall Islands,Marshall Islands citizen
Mauritania,Mauritania citizen
Mauritius,Mauritius citizen
Mexico,Mexican
Micronesia,Micronesia citizen
Moldova,Moldova citizen
Mongolia,Mongolia citizen
Montenegro,Montenegrin
Morocco,Moroccan
Mozambique,Mozambican
Myanmar,Myanmar citizen
Namibia,Namibian
Nauru,Nauru citizen
Nepal,Nepalese
Netherlands,Dutch
New Zealand,New Zealander
Nicaragua,Nicaragua citizen
Niger,Niger citizen
Nigeria,Nigerian
North Korea,North Korean
North Macedonia,Macedonian
Norway,Norwegian
Oman,Omani
Pakistan,Pakistani
Palau,Palau citizen
Panama,Panama citizen
Papua New Guinea,Papua New Guinea citizen
Paraguay,Paraguayan
Peru,Peruvian
Philippines,Filipino
Poland,Polish
Portugal,Portuguese
Qatar,Qatari
Romania,Romania citizen
Russia,Russian
Rwanda,Rwandan
Saint Kitts and Nevis,Saint Kitts and Nevis citizen
Saint Lucia,Saint Lucia citizen
Saint Vincent and the Grenadines,Saint Vincent and the Grenadines citizen
Samoa,Samoa citizen
San Marino,San Marino citizen
Sao Tome and Principe,Sao Tome and Principe citizen
Saudi Arabia,Saudi
Senegal,Senegal citizen
Serbia,Serbian
